country,continent,GDP,year
英国,欧洲,260510,2013
意大利,欧洲,204670,2013
西班牙,欧洲,134780,2013
荷兰,欧洲,84970,2013
瑞士,欧洲,61070,2013
芬兰,欧洲,24970,2013
瑞典,欧洲,51470,2013
比利时,欧洲,49500,2013
挪威,欧洲,44930,2013
日本,亚洲,617030,2018
印度,亚洲,282220,2018
韩国,亚洲,144970,2018
土耳其,亚洲,124050,2018
印度尼西亚,亚洲,114690,2018
沙特阿拉伯,亚洲,70160,2018
泰国,亚洲,44230,2018
菲律宾,亚洲,34030,2018
马来西亚,亚洲,38210,2018
英国,欧洲,287930,2018
意大利,欧洲,214100,2018
西班牙,欧洲,153950,2018
荷兰,欧洲,94810,2018
瑞士,欧洲,67460,2018
芬兰,欧洲,26920,2018
瑞典,欧洲,58930,2018
比利时,欧洲,53840,2018
挪威,欧洲,48930,2018
